mol     nconf  minRMSD refAtoms
1v48       24    0.698       34
1v4s       36    0.804       35
1vcj       26    0.620       52
1w2g       16    0.226       31
1wap       17    0.591       27
1x8x       20    0.180       24
1xid       16    0.091       19
1xie        5    0.064       23
1xm6       69    0.534       38
1xoq       31    0.582       40
1xoz       15    0.190       48
1y6b       93    1.082       59
1ydr       12    0.242       38
1ydt       38    0.663       48
1yee       25    0.887       39
1ygc       50    1.555       67
1yqy       26    0.158       41
1yv3        6    0.215       38
1yvf       63    1.117       43
1ywr       50    1.113       65
1z95       34    0.885       43
25c8       22    0.811       52
2aad       36    0.536       36
2ack       18    0.159       28
2ada        7    0.278       33
2ak3       46    0.406       35
2bm2       64    0.626       60
2br1       65    0.505       50
2bsm       51    0.501       45
2cgr       24    1.539       49
2cht        9    0.379       26
2cmd       48    0.586       18
2ctc       36    0.203       21
2dbl       40    0.612       67
2fox       48    1.056       52
2gbp        7    0.038       24
2h4n       31    0.157       18
2ifb       20    0.802       49
2izg       15    0.321       31
2lgs       43    0.376       18
2mcp       28    0.275       25
2pcp       18    0.137       44
2phh        2    0.042       15
2pk4       19    0.100       22
2plv       22    1.242       59
2qwk       35    0.579       44
2r07       17    0.768       46
2sim       32    0.799       36
2tmn       34    0.580       26
2tsc       54    1.454       56
2yhx       31    0.302       40
2ypi       31    0.251       11
3cla       72    0.912       32
3cpa       23    0.407       30
3erd       29    0.478       40
3ert       29    1.009       59
3gpb       29    0.229       27
3hvt        6    0.160       34
3std       36    0.652       48
3tpi       35    0.596       38
4aah       22    0.239       27
4cox       63    0.239       40
4cts       39    0.446       11
4dfr       63    1.346       54
4est       15    0.967       73
4fbp       28    0.308       35
4lbd       55    0.571       54
4phv       22    2.251       88
5abp        7    0.136       24
5er1       40    1.678       86
5p2p       26    1.504       69
5std       29    1.320       47
6rnt       64    0.337       36
6std       23    0.315       37
7std       28    0.402       38
7tim       25    0.206       14
8gch       34    1.101       44

[NEW v2 3-obj dual-archive] molecules: 329, evaluated: 329
[NEW v2 3-obj dual-archive] mean min-RMSD: 0.732 A   median: 0.536 A
[NEW v2 3-obj dual-archive] min-RMSD <= 1.0 A: 246/329 (74.8%)
[NEW v2 3-obj dual-archive] min-RMSD <= 2.0 A: 311/329 (94.5%)
[NEW v2 3-obj dual-archive] mean conformers/mol: 31.6   total conformers: 10389
