mol     nconf  minRMSD refAtoms
1v48       44    0.646       34
1v4s       69    0.485       35
1vcj       88    0.709       52
1w2g       15    0.182       31
1wap       20    0.624       27
1x8x       35    0.212       24
1xid       17    0.137       19
1xie        5    0.060       23
1xm6      100    0.365       38
1xoq       91    0.470       40
1xoz       15    0.190       48
1y6b      100    1.269       59
1ydr       25    0.222       38
1ydt       93    0.533       48
1yee       59    0.715       39
1ygc       61    0.759       67
1yqy       73    0.222       41
1yv3        9    0.257       38
1yvf      100    1.090       43
1ywr      100    0.851       65
1z95       46    0.807       43
25c8       45    0.387       52
2aad      100    0.484       36
2ack       24    0.128       28
2ada       18    0.307       33
2ak3       60    0.527       35
2bm2      100    0.602       60
2br1       91    0.450       50
2bsm       36    0.336       45
2cgr       27    0.596       49
2cht       11    0.292       26
2cmd      100    0.392       18
2ctc       55    0.229       21
2dbl       46    0.359       67
2fox      100    0.647       52
2gbp        6    0.111       24
2h4n       33    0.174       18
2ifb       23    0.956       49
2izg       15    0.270       31
2lgs       84    0.453       18
2mcp       41    0.203       25
2pcp       33    0.135       44
2phh        2    0.037       15
2pk4       52    0.607       22
2plv       74    0.654       59
2qwk       41    0.244       44
2r07       22    0.407       46
2sim       51    0.506       36
2tmn       61    0.416       26
2tsc       94    0.981       56
2yhx       48    0.352       40
2ypi       41    0.103       11
3cla      100    0.310       32
3cpa       50    0.421       30
3erd       46    0.490       40
3ert       61    0.470       59
3gpb       40    0.402       27
3hvt        6    0.162       34
3std       74    0.791       48
3tpi       78    0.398       38
4aah       23    0.229       27
4cox       93    0.263       40
4cts       45    0.332       11
4dfr      100    1.322       54
4est       63    0.968       73
4fbp       26    0.246       35
4lbd       95    0.221       54
4phv       67    1.967       88
5abp        8    0.134       24
5er1      100    1.579       86
5p2p       61    1.189       69
5std       68    0.980       47
6rnt       87    0.224       36
6std       56    0.489       37
7std       49    0.318       38
7tim       25    0.133       14
8gch      100    0.920       44

[TUNED v2] molecules: 329, evaluated: 329
[TUNED v2] mean min-RMSD: 0.638 A   median: 0.457 A
[TUNED v2] min-RMSD <= 1.0 A: 265/329 (80.5%)
[TUNED v2] min-RMSD <= 2.0 A: 319/329 (97.0%)
[TUNED v2] mean conformers/mol: 56.1   total conformers: 18445
